wl,n,k
0.2,1.396,1.10E-07
0.225,1.373,4.90E-08
0.25,1362,3.35E-08
0.275,1.354,2.35E-08
0.3,1.349,1.60E-08
0.325,1.346,1.08E-08
0.35,1.343,6.50E-09
0.375,1.341,3.50E-09
0.4,1.349793,1.58E-09
0.405,1.349159,1.49E-09
0.41,1.348417,1.42E-09
0.415,1.347811,1.34E-09
0.42,1.347219,1.26E-09
0.425,1.346636,1.17E-09
0.43,1.346066,1.09E-09
0.435,1.345505,1.02E-09
0.44,1.344956,9.39E-10
0.445,1.344418,8.69E-10
0.45,1.343889,8.09E-10
0.455,1.343368,7.79E-10
0.46,1.342858,7.6E-10
0.465,1.342455,7.5E-10
0.47,1.341961,7.29E-10
0.475,1.341475,7.01E-10
0.48,1.341093,7.09E-10
0.485,1.34062,7.16E-10
0.49,1.340248,7.34E-10
0.495,1.339791,7.85E-10
0.5,1.33943,9.24E-10
0.505,1.339073,1.08E-09
0.511,1.338635,1.27E-09
0.515,1.338288,1.46E-09
0.52,1.337944,1.57E-09
0.525,1.337607,1.64E-09
0.53,1.337273,1.76E-09
0.535,1.336943,1.89E-09
0.54,1.336615,2.1E-09
0.545,1.336292,2.27E-09
0.55,1.335972,2.44E-09
0.555,1.335656,2.66E-09
0.56,1.335344,2.87E-09
0.565,1.335035,3.13E-09
0.57,1.334729,3.43E-09
0.575,1.334425,3.84E-09
0.579,1.3342,4.43E-09
0.585,1.333902,5.22E-09
0.59,1.333609,6.36E-09
0.596,1.333316,7.72E-09
0.6,1.3331,9.63E-09
0.605,1.332813,1.13E-08
0.61,1.332598,1.24E-08
0.615,1.332317,1.33E-08
0.619,1.332106,1.4E-08
0.625,1.331826,1.47E-08
0.63,1.331619,1.5E-08
0.635,1.331345,1.55E-08
0.64,1.331144,1.57E-08
0.646,1.330877,1.61E-08
0.65,1.330683,1.67E-08
0.655,1.33049,1.78E-08
0.661,1.330238,1.94E-08
0.665,1.330052,2.03E-08
0.67,1.329869,2.1E-08
0.675,1.32969,2.18E-08
0.681,1.329452,2.3E-08
0.685,1.329278,2.47E-08
0.69,1.329106,2.65E-08
0.695,1.328938,2.96E-08
0.7,1.328769,3.35E-08
0.705,1.328603,4.1E-08
0.71,1.32844,5E-08
0.714,1.328279,6E-08
0.719,1.32812,7.29E-08
0.724,1.327963,9.14E-08
0.729,1.327808,1.15E-07
0.735,1.327652,1.35E-07
0.74,1.327502,1.46E-07
0.745,1.32735,1.53E-07
0.75,1.327201,1.56E-07
0.755,1.327055,1.58E-07
0.76,1.326909,1.58E-07
0.766,1.326764,1.57E-07
0.769,1.326667,1.53E-07
0.774,1.326524,1.48E-07
0.78,1.326382,1.41E-07
0.785,1.326244,1.34E-07
0.791,1.326104,1.28E-07
0.794,1.326012,1.26E-07
0.8,1.325874,1.25E-07
0.805,1.325739,1.27E-07
0.809,1.325648,1.33E-07
0.815,1.325512,1.45E-07
0.82,1.325379,1.62E-07
0.824,1.32529,1.82E-07
0.83,1.325157,2.04E-07
0.836,1.325025,2.24E-07
0.839,1.324937,2.46E-07
0.845,1.324805,2.69E-07
0.849,1.324718,2.93E-07
0.855,1.32459,3.15E-07
0.859,1.324502,3.35E-07
0.865,1.324373,3.55E-07
0.871,1.324244,3.75E-07
0.875,1.324159,3.91E-07
0.879,1.324074,4.05E-07
0.885,1.323946,4.23E-07
0.889,1.323859,4.4E-07
0.895,1.323732,4.62E-07
0.899,1.323648,4.86E-07
0.906,1.32352,5.15E-07
0.91,1.323434,5.7E-07
0.914,1.323351,6.7E-07
0.92,1.323222,8.3E-07
0.925,1.323138,1.06E-06
0.929,1.323054,1.37E-06
0.935,1.322926,1.77E-06
0.94,1.322842,2.17E-06
0.944,1.322757,2.56E-06
0.951,1.32263,2.93E-06
0.955,1.322546,3.19E-06
0.959,1.322462,3.36E-06
0.966,1.322333,3.46E-06
0.971,1.322249,3.5E-06
0.975,1.322165,3.48E-06
0.979,1.32208,3.42E-06
0.984,1.321994,3.34E-06
0.991,1.321866,3.25E-06
0.995,1.32178,3.13E-06
1,1.321695,3E-06
1.01,1.321521,2.69E-06
1.02,1.321303,2.35E-06
1.03,1.321128,2E-06
1.04,1.320952,1.69E-06
1.05,1.320775,1.42E-06
1.06,1.320596,1.3E-06
1.07,1.320416,1.26E-06
1.08,1.320233,1.33E-06
1.09,1.320051,1.5E-06
1.1,1.319865,1.71E-06
1.11,1.319678,2.04E-06
1.12,1.319488,2.63E-06
1.13,1.319296,3.87E-06
1.14,1.319103,5.95E-06
1.15,1.318909,9.31E-06
1.16,1.318763,1.07E-05
1.17,1.318566,1.12E-05
1.18,1.318366,1.16E-05
1.19,1.318162,1.18E-05
1.2,1.318008,1.2E-05
1.21,1.317799,1.19E-05
1.22,1.317641,1.18E-05
1.23,1.317427,1.16E-05
1.24,1.317263,1.14E-05
1.25,1.317042,1.1E-05
1.26,1.316873,1.08E-05
1.27,1.316645,1.09E-05
1.28,1.31647,1.14E-05
1.29,1.316233,1.22E-05
1.3,1.316052,1.4E-05
1.31,1.315868,1.64E-05
1.32,1.315618,1.91E-05
1.33,1.315425,2.25E-05
1.34,1.315228,2.85E-05
1.35,1.315031,4.05E-05
1.36,1.31476,4.5E-05
1.37,1.314547,5.8E-05
1.38,1.314329,7.8E-05
1.39,1.314104,0.000106
1.4,1.313871,0.000153
1.41,1.313671,0.000254
1.42,1.313518,0.00032
1.43,1.313373,0.000354
1.44,1.31322,0.000363
1.45,1.313055,0.000364
1.46,1.312888,0.00036
1.47,1.312715,0.000339
1.48,1.312525,0.000302
1.49,1.312318,0.000266
1.5,1.312093,0.000225
1.51,1.311852,0.000196
1.52,1.311604,0.000174
1.53,1.311352,0.00016
1.54,1.311097,0.000144
1.55,1.310923,0.000135
1.56,1.310659,0.000124
1.57,1.310387,0.000114
1.58,1.310114,0.000107
1.59,1.309928,9.94E-05
1.6,1.309642,9.35E-05
1.61,1.309352,8.8E-05
1.62,1.309055,8.31E-05
1.63,1.308855,8.1E-05
1.64,1.308548,7.9E-05
1.65,1.308341,7.59E-05
1.66,1.308021,7.4E-05
1.67,1.307672,7.4E-05
1.68,1.307435,7.5E-05
1.69,1.307073,7.6E-05
1.7,1.306829,7.74E-05
1.71,1.306453,8.05E-05
1.72,1.30607,8.41E-05
1.73,1.305809,8.9E-05
1.74,1.305413,9.51E-05
1.75,1.305142,0.0001
1.76,1.304727,0.000105
1.77,1.304442,0.000112
1.78,1.304155,0.000122
1.79,1.303718,0.000133
1.8,1.303418,0.000136
1.81,1.302947,0.000137
1.82,1.302616,0.000138
1.83,1.302269,0.000142
1.84,1.301709,0.000155
1.85,1.301291,0.000186
1.86,1.300633,0.00032
1.87,1.300214,0.000521
1.88,1.29986,0.000722
1.89,1.299545,0.000922
1.9,1.298998,0.00116
1.91,1.298791,0.00168
1.92,1.298793,0.00183
1.93,1.298681,0.00192
1.94,1.29859,0.00191
1.95,1.298472,0.00185
1.96,1.298308,0.00172
1.97,1.298051,0.00155
1.98,1.297607,0.0014
1.99,1.297292,0.00125
2,1.296913,0.0011
2.01,1.296499,0.00099
2.02,1.296066,0.000889
2.03,1.295606,0.000805
2.04,1.294919,0.000739
2.05,1.294457,0.000674
2.06,1.293973,0.000621
2.07,1.293476,0.000573
2.08,1.292966,0.000529
2.09,1.292438,0.000488
2.1,1.291899,0.000464
2.11,1.291353,0.00044
2.12,1.290795,0.000418
2.13,1.290221,0.000397
2.14,1.289634,0.000383
2.15,1.289033,0.000371
2.16,1.288418,0.000359
2.17,1.287787,0.000351
2.18,1.287139,0.000343
2.19,1.286474,0.000339
2.2,1.28579,0.000338
2.21,1.285087,0.000339
2.22,1.284365,0.000341
2.23,1.283619,0.000346
2.24,1.282852,0.000357
2.25,1.282064,0.000374
2.26,1.281256,0.00039
2.27,1.280421,0.000408
2.28,1.279561,0.000429
2.29,1.278675,0.000451
2.3,1.277755,0.000469
2.31,1.276797,0.000492
2.32,1.276305,0.000511
2.33,1.275295,0.000543
2.34,1.274257,0.0006
2.35,1.273184,0.000636
2.36,1.272062,0.000685
2.37,1.270902,0.000743
2.38,1.269682,0.000792
2.39,1.269059,0.000849
2.4,1.267787,0.000909
2.41,1.26645,0.00099
2.42,1.265059,0.00107
2.43,1.263577,0.00115
2.44,1.262824,0.00125
2.45,1.261297,0.00135
2.46,1.259683,0.00147
2.47,1.257969,0.00158
2.48,1.257102,0.00171
2.49,1.255347,0.00181
2.5,1.253465,0.0019
