"wave","original_mac_m2.mg","original_corrected_mac_m2.mg","invivo_corrected_mac_m2.mg","invivo_corrected_750_normalised_mac_m2.mg"
250,0.10310851,0.0576746530420391,0.20902823950263,0.180684469340281
251,0.104652187,0.0488538098081756,0.206783794705505,0.178440024543157
252,0.106195863,0.0425406188788467,0.21047058671687,0.182126816554521
253,0.107988603,0.0365158663110869,0.211153634918135,0.182809864755787
254,0.109781343,0.0321169081153125,0.21229853096177,0.183954760799421
255,0.109044522,0.0293628634496343,0.217510495620454,0.189166725458105
256,0.108307701,0.0270124713371349,0.222790237685353,0.194446467523004
257,0.109634351,0.0262064310846698,0.217856952080125,0.189513181917776
258,0.110961002,0.0254670163086414,0.205924854613761,0.177581084451412
259,0.110805652,0.0248312613994518,0.200347277192309,0.17200350702996
260,0.110650303,0.0242275891268813,0.199142577841995,0.170798807679646
261,0.110811361,0.024005792610015,0.198788144075103,0.170444373912755
262,0.110972418,0.0237894371190982,0.191747605409702,0.163403835247353
263,0.112719447,0.0240689960297686,0.185642894089597,0.157299123927249
264,0.114466476,0.0243456099050145,0.180667836550602,0.152324066388253
265,0.115722993,0.0245427692404067,0.174793397510963,0.146449627348614
266,0.11697951,0.0247383761697275,0.174835927995612,0.146492157833263
267,0.117370735,0.0247820802267704,0.176479930493345,0.148136160330997
268,0.117761961,0.024824734585426,0.178633275307283,0.150289505144935
269,0.119738114,0.02526640162426,0.174610585799025,0.146266815636676
270,0.121714267,0.0228671783074652,0.174730887807757,0.146387117645409
271,0.12329102,0.0235014094838533,0.174920496623983,0.146576726461635
272,0.124867774,0.0241483498827104,0.17220231718507,0.143858547022721
273,0.126209957,0.0248058084002985,0.168430346838314,0.140086576675965
274,0.127552141,0.025481692743467,0.171434437856324,0.143090667693975
275,0.131224548,0.0266667948159009,0.177637396486533,0.149293626324184
276,0.134896955,0.0276866283509831,0.181322108120421,0.152978337958072
277,0.143234608,0.0297052705165088,0.181507734855568,0.15316396469322
278,0.151572261,0.0317652792980251,0.181537642808213,0.153193872645864
279,0.169942289,0.0360181480639232,0.182404157918581,0.154060387756233
280,0.188312318,0.0403600936724208,0.183122502230062,0.154778732067713
281,0.225140764,0.0487634636658055,0.185768033042968,0.157424262880619
282,0.261969211,0.0573478704316264,0.186375017955536,0.158031247793188
283,0.30958045,0.0684467626537362,0.186077103629396,0.157733333467047
284,0.357191689,0.0797644207058782,0.184522659039652,0.156178888877303
285,0.388383671,0.0875909909645722,0.185648673611491,0.157304903449142
286,0.419575653,0.0953840695381286,0.187584669286671,0.159240899124322
287,0.438071586,0.100319662725456,0.187658472545155,0.159314702382806
288,0.45656752,0.105330580692115,0.18602108772317,0.157677317560821
289,0.467580571,0.108667612790746,0.185509287229753,0.157165517067404
290,0.478593622,0.11204995882205,0.191411169555723,0.163067399393374
291,0.48391666,0.11429770154388,0.196097493216575,0.167753723054226
292,0.489239699,0.116596827186448,0.198632690511493,0.170288920349145
293,0.491079209,0.117905558084983,0.19866721338701,0.170323443224661
294,0.49291872,0.11921850018786,0.201252374235956,0.172908604073607
295,0.494605758,0.120249999101408,0.201941071394408,0.17359730123206
296,0.496292797,0.121241203166186,0.202727066929528,0.17438329676718
297,0.496841324,0.122049475669438,0.201082762044996,0.172738991882647
298,0.49738985,0.122871222854726,0.200238224471205,0.171894454308857
299,0.497042321,0.12339809302995,0.202767710934088,0.17442394077174
300,0.496694792,0.123936257524938,0.208917884979786,0.180574114817437
301,0.495612772,0.124395640788838,0.211353602914506,0.183009832752157
302,0.494530752,0.124869346215604,0.211743348601337,0.183399578438988
303,0.492577199,0.125165655306287,0.212032073740845,0.183688303578497
304,0.490623645,0.125460768359821,0.21351839631029,0.185174626147941
305,0.488314804,0.12573612907385,0.215233066008439,0.186889295846091
306,0.486005964,0.12599109988403,0.215636261216239,0.18729249105389
307,0.483448765,0.126508066916109,0.21464198917281,0.186298219010461
308,0.480891567,0.127016128566792,0.217328028933558,0.18898425877121
309,0.478054736,0.127582837772717,0.222843804830354,0.194500034668005
310,0.475217906,0.128152252696063,0.226539282970973,0.198195512808625
311,0.471888253,0.128539472161092,0.228115914805821,0.199772144643473
312,0.468558599,0.128955445628203,0.229718516915974,0.201374746753625
313,0.465619984,0.129537191633481,0.230710988380181,0.202367218217832
314,0.462681368,0.130142694552852,0.232060336715266,0.203716566552917
315,0.459908437,0.130712141028364,0.234182737375197,0.205838967212848
316,0.457135506,0.131283469188672,0.236034750964493,0.207690980802144
317,0.454640682,0.131988827738557,0.240457565363224,0.212113795200875
318,0.452145859,0.132704068097291,0.242104178293496,0.213760408131147
319,0.449684143,0.133613683488051,0.243801356475746,0.215457586313398
320,0.447222427,0.134561808417014,0.244504791502747,0.216161021340398
321,0.444021433,0.135118665035958,0.248160686145215,0.219816915982866
322,0.44082044,0.135687749421212,0.249048202333482,0.220704432171134
323,0.438412912,0.136374592429854,0.252394771383141,0.224051001220792
324,0.436005383,0.13707543587771,0.254477930743508,0.226134160581159
325,0.434318473,0.138116863187542,0.256468292567603,0.228124522405254
326,0.432631562,0.139181797709971,0.257122883250449,0.2287791130881
327,0.430676295,0.139885042225554,0.257660039713461,0.229316269551112
328,0.428721028,0.14060125875659,0.255945745684539,0.22760197552219
329,0.427126618,0.141417086280864,0.257360728396784,0.229016958234436
330,0.425532209,0.142248068101918,0.262817806225645,0.234474036063296
331,0.423321754,0.143026772359929,0.267634827813455,0.239291057651107
332,0.421111299,0.143821526703862,0.268511901660372,0.240168131498024
333,0.418690502,0.14431808748293,0.270137651694389,0.24179388153204
334,0.416269705,0.14482295360591,0.272985334827375,0.244641564665026
335,0.413838428,0.145533541518389,0.27223620174038,0.243892431578031
336,0.411407152,0.146258689305119,0.270211908953488,0.24186813879114
337,0.407783284,0.146592288657435,0.266666943826415,0.238323173664066
338,0.404159417,0.146932445024333,0.266776631862115,0.238432861699766
339,0.400297776,0.146472015314004,0.265980664058551,0.237636893896202
340,0.396436136,0.146004949973642,0.265952716795311,0.237608946632962
341,0.392597046,0.145673405595456,0.263525939843582,0.235182169681233
342,0.388757957,0.145336467513981,0.263162212829643,0.234818442667294
343,0.384777918,0.145093004642674,0.264092781531496,0.235749011369147
344,0.380797879,0.144844731260454,0.261808456780937,0.233464686618588
345,0.377029683,0.14445184657133,0.260503432144499,0.23215966198215
346,0.373261488,0.144052985229354,0.257570477256726,0.229226707094378
347,0.369454347,0.143409230716718,0.257478078246667,0.229134308084318
348,0.365647205,0.142756984380736,0.256000158410317,0.227656388247968
349,0.361259778,0.142127041867965,0.255817479572608,0.22747370941026
350,0.35687235,0.141486934449929,0.254120256161801,0.225776485999452
351,0.352941545,0.14098169367882,0.251222579393651,0.222878809231302
352,0.349010741,0.140459902513755,0.249530424697087,0.221186654534739
353,0.345440721,0.140015621717596,0.246033346514544,0.217689576352195
354,0.341870701,0.139565141134425,0.244541606034809,0.216197835872461
355,0.337932908,0.13906335897434,0.242915780616098,0.214572010453749
356,0.333995116,0.138553381972285,0.242036867046174,0.213693096883825
357,0.330986098,0.138650602058124,0.239731271672499,0.21138750151015
358,0.327977081,0.138753221341147,0.238376835082859,0.21003306492051
359,0.324764222,0.138881687997389,0.236860306831996,0.208516536669647
360,0.321551363,0.139011760782096,0.235309202687508,0.20696543252516
361,0.318259783,0.13922156896779,0.23358666593168,0.205242895769332
362,0.314968204,0.13943815655089,0.232021782,0.203678011837651
363,0.312040979,0.13946251455635,0.230091730090988,0.201747959928639
364,0.309113754,0.139486968210812,0.228417574637296,0.200073804474947
365,0.305963825,0.139956227478926,0.226574168181143,0.198230398018794
366,0.302813897,0.140438565845398,0.224608266808544,0.196264496646195
367,0.299269884,0.140824587147792,0.222980177626251,0.194636407463902
368,0.295725872,0.141220138003736,0.221460899448368,0.193117129286019
369,0.293755778,0.141950973321773,0.220133200850455,0.191789430688106
370,0.291785684,0.142698600216187,0.21873697411371,0.190393203951361
371,0.289555516,0.143622138171422,0.217612398977665,0.189268628815316
372,0.287325348,0.144571849266241,0.216003513997807,0.187659743835459
373,0.284831608,0.145187933891155,0.21482444594765,0.186480675785301
374,0.282337867,0.145819683029178,0.213429464970037,0.185085694807688
375,0.280326441,0.146732837158741,0.212061735228564,0.183717965066215
376,0.278315014,0.147669211455067,0.211417120215815,0.183073350053466
377,0.276615144,0.148811584253482,0.211307374284247,0.182963604121898
378,0.274915274,0.149985573321607,0.210597720186858,0.182253950024509
379,0.272819982,0.150834343025076,0.209378948549882,0.181035178387533
380,0.27072469,0.151694400750451,0.208616824738735,0.180273054576386
381,0.268588909,0.152406160174471,0.208209766560996,0.179865996398648
382,0.266453128,0.153097607911994,0.207695754776445,0.179351984614096
383,0.264512325,0.154367177579278,0.207603163433439,0.17925939327109
384,0.262571522,0.15567755810741,0.207248397892003,0.178904627729654
385,0.260496861,0.155995446339192,0.206609728529411,0.178265958367063
386,0.2584222,0.156320069445292,0.205929276633129,0.17758550647078
387,0.255825174,0.157100495649014,0.205560867308739,0.17721709714639
388,0.253228147,0.157904750126149,0.205262783127843,0.176919012965495
389,0.250626292,0.158161929582043,0.204790830736271,0.176447060573922
390,0.248024437,0.158424817439747,0.204318619882966,0.175974849720617
391,0.245141734,0.158440954217391,0.203739125239189,0.17539535507684
392,0.242259032,0.158462654195279,0.20332476191529,0.174980991752941
393,0.239969095,0.1584335784686,0.203247540244135,0.174903770081786
394,0.237679158,0.158417279925921,0.203071777780635,0.174728007618286
395,0.234509515,0.158403231731113,0.202636548223335,0.174292778060986
396,0.231339872,0.158388236724849,0.202078290851715,0.173734520689367
397,0.228038687,0.157763470988644,0.201516403700272,0.173172633537924
398,0.224737502,0.157125019113223,0.201008185471747,0.172664415309398
399,0.222098173,0.157249911579163,0.200521339837978,0.172177569675629
400,0.219458843,0.157377496815569,0.200417324782479,0.17207355462013
401,0.216414802,0.156732654625345,0.200109950956189,0.171766180793841
402,0.213370761,0.156060018121615,0.199825121425428,0.17148135126308
403,0.210635514,0.156051726425741,0.199489533485498,0.171145763323149
404,0.207900268,0.156052885652296,0.199708653838111,0.171364883675762
405,0.205072968,0.155604748029504,0.19982877294358,0.171485002781232
406,0.202245668,0.155164177131491,0.199262232558845,0.170918462396496
407,0.199447915,0.154836033633732,0.19862640364516,0.170282633482811
408,0.196650161,0.154501425625492,0.198196335891463,0.169852565729114
409,0.194054817,0.154142510234283,0.197771034222664,0.169427264060315
410,0.191459473,0.153775530577807,0.197193340381938,0.168849570219589
411,0.189031501,0.153729661576819,0.196544502830352,0.168200732668003
412,0.18660353,0.153682199273078,0.196069103009985,0.167725332847636
413,0.183689853,0.153154660187383,0.195542983780538,0.167199213618189
414,0.180776177,0.152630268446535,0.1950587421755,0.166714972013151
415,0.178849152,0.1531217014848,0.194289152938793,0.165945382776445
416,0.176922128,0.153626673753025,0.193758866028559,0.16541509586621
417,0.174204893,0.153285493197948,0.193226488300839,0.16488271813849
418,0.171487657,0.152934664792143,0.192671586754703,0.164327816592354
419,0.169558944,0.153948248364726,0.191824840805394,0.163481070643045
420,0.167630231,0.154998627602133,0.191268838089596,0.162925067927248
421,0.165510225,0.154692688050557,0.190610129686861,0.162266359524512
422,0.16339022,0.154379713231835,0.189937786694595,0.161594016532246
423,0.161798861,0.155086818407726,0.189213062081087,0.160869291918739
424,0.160207501,0.155833968393888,0.188950602017442,0.160606831855093
425,0.157973456,0.155697462279194,0.18853661518699,0.160192845024641
426,0.155739411,0.155556897492419,0.187882282212663,0.159538512050314
427,0.154108556,0.154108556,0.187256273454944,0.158912503292596
428,0.152477701,0.152477701,0.186814307767102,0.158470537604753
429,0.150343141,0.150343141,0.186325947687243,0.157982177524894
430,0.148208582,0.148208582,0.185789213370088,0.15744544320774
431,0.146662871,0.146662871,0.185372954649718,0.157029184487369
432,0.145117161,0.145117161,0.184902281636188,0.156558511473839
433,0.143095318,0.143095318,0.1843714851761,0.156027715013751
434,0.141073476,0.141073476,0.183729700386474,0.155385930224125
435,0.139378754,0.139378754,0.183170619730972,0.154826849568624
436,0.137684032,0.137684032,0.183046641292781,0.154702871130432
437,0.13594335,0.13594335,0.183068470773479,0.154724700611131
438,0.134202668,0.134202668,0.182902523560516,0.154558753398167
439,0.132687895,0.132687895,0.182290269737432,0.153946499575083
440,0.131173122,0.131173122,0.181849025439491,0.153505255277143
441,0.129559732,0.129559732,0.181470837447604,0.153127067285256
442,0.127946341,0.127946341,0.180990889344554,0.152647119182206
443,0.126531284,0.126531284,0.180429930867075,0.152086160704726
444,0.125116226,0.125116226,0.179981953183487,0.151638183021139
445,0.123546449,0.123546449,0.179793229780943,0.151449459618594
446,0.121976671,0.121976671,0.17930025885852,0.150956488696171
447,0.120544756,0.120544756,0.178523758990167,0.150179988827818
448,0.119112841,0.119112841,0.177855544663397,0.149511774501048
449,0.117296432,0.117296432,0.177364994959917,0.149021224797568
450,0.115480022,0.115480022,0.17685275658076,0.148508986418411
451,0.11421346,0.11421346,0.17617786262032,0.147834092457971
452,0.112946899,0.112946899,0.175671412347268,0.147327642184919
453,0.111455969,0.111455969,0.175154115651018,0.146810345488669
454,0.109965039,0.109965039,0.174559731825213,0.146215961662864
455,0.108454848,0.108454848,0.173758829376055,0.145415059213706
456,0.106944657,0.106944657,0.17288817261151,0.144544402449161
457,0.105602242,0.105602242,0.172158741579741,0.143814971417392
458,0.104259827,0.104259827,0.171615448920758,0.143271678758409
459,0.103121862,0.103121862,0.171124223128437,0.142780452966088
460,0.101983897,0.101983897,0.170700900072975,0.142357129910626
461,0.100832952,0.100832952,0.170287172287665,0.141943402125316
462,0.099682006,0.099682006,0.169684089459616,0.141340319297267
463,0.09847464,0.09847464,0.169155815466412,0.140812045304063
464,0.097267275,0.097267275,0.168570425153271,0.140226654990922
465,0.095875514,0.095875514,0.168120115194075,0.139776345031726
466,0.094483754,0.094483754,0.16756108320479,0.139217313042441
467,0.093292564,0.093292564,0.167160958895182,0.138817188732833
468,0.092101375,0.092101375,0.166705297659009,0.13836152749666
469,0.090810599,0.090810599,0.166246658550764,0.137902888388415
470,0.089519823,0.089519823,0.165898032813909,0.137554262651561
471,0.08874532,0.08874532,0.165591003719071,0.137247233556722
472,0.087970816,0.087970816,0.165357049001455,0.137013278839106
473,0.087070612,0.087070612,0.165098720366999,0.136754950204651
474,0.086170408,0.086170408,0.164575376991875,0.136231606829526
475,0.085238543,0.085238543,0.164195751027016,0.135851980864667
476,0.084306679,0.084306679,0.163883321367587,0.135539551205238
477,0.08356818,0.08356818,0.163631166741354,0.135287396579005
478,0.08282968,0.08282968,0.162917529378828,0.134573759216479
479,0.081746469,0.081746469,0.162481043390829,0.13413727322848
480,0.080663258,0.080663258,0.162174819532652,0.133831049370303
481,0.079896327,0.079896327,0.161874551558871,0.133530781396523
482,0.079129396,0.079129396,0.161430314594206,0.133086544431857
483,0.078522852,0.078522852,0.161048755648276,0.132704985485927
484,0.077916309,0.077916309,0.160752636066408,0.132408865904059
485,0.076930711,0.076930711,0.16035466903754,0.132010898875191
486,0.075945113,0.075945113,0.159842535693131,0.131498765530782
487,0.075172915,0.075172915,0.159197963696618,0.130854193534269
488,0.074400717,0.074400717,0.158732989890796,0.130389219728447
489,0.073950289,0.073950289,0.158601029315796,0.130257259153448
490,0.073499861,0.073499861,0.158460226923947,0.130116456761598
491,0.072741726,0.072741726,0.158114442268981,0.129770672106632
492,0.071983591,0.071983591,0.157434660499929,0.12909089033758
493,0.071283388,0.071283388,0.156802694373274,0.128458924210925
